Date : 2026-01-16 03:59:12
Directory : /Users/hei/IdeaProjects/fyp
Total : 69 files,  29169 codes, 325 comments, 734 blanks, all 30228 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Users/hei/IdeaProjects/fyp/explain-frontend/tailwind.config.js                         | JavaScript       |          9 |          1 |          0 |         10 |
| /Users/hei/IdeaProjects/fyp/fyp.iml                                                     | XML              |          9 |          0 |          0 |          9 |
| /Users/hei/IdeaProjects/fyp/initdb.py                                                   | Python           |          5 |          0 |          2 |          7 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/01_java basic.json                              | JSON             |         81 |          0 |          1 |         82 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/01_migrate from python (Extra).json             | JSON             |        118 |          0 |          0 |        118 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/02-problem solving with Java.json               | JSON             |        294 |          0 |          0 |        294 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/03-arrays.json                                  | JSON             |        250 |          0 |          0 |        250 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/04-methods.json                                 | JSON             |        198 |          0 |          0 |        198 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/05-File IO and Exception Handling.json          | JSON             |        138 |          0 |          0 |        138 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/06-OO-Part1.json                                | JSON             |        298 |          0 |          0 |        298 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/07-OO-Part2.json                                | JSON             |        182 |          0 |          0 |        182 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/08-Interitance-Part 1.json                      | JSON             |        254 |          0 |          0 |        254 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/09-Interitance-Part 2.json                      | JSON             |        194 |          0 |          0 |        194 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/10-polymorphism.json                            | JSON             |        230 |          0 |          0 |        230 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/11-Abstract Class and Interface and Lambda.json | JSON             |        194 |          0 |          0 |        194 |
| /Users/hei/IdeaProjects/fyp/lessons_raw/R01-recursion.json                              | JSON             |         94 |          0 |          0 |         94 |
| /Users/hei/IdeaProjects/fyp/main.py                                                     | Python           |        125 |         18 |         17 |        160 |
| /Users/hei/IdeaProjects/fyp/models.py                                                   | Python           |        108 |          0 |         24 |        132 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/base/PaperScissorsRock.java            | Java             |         37 |         20 |         16 |         73 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Puzzle.java                       | Java             |         31 |          4 |         19 |         54 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question2.java                    | Java             |          2 |          1 |          0 |          3 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/base/Question3.java                    | Java             |          2 |          1 |          3 |          6 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/questions/Q1.json                      | JSON             |        219 |          0 |          1 |        220 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/DynamicArray.java             | Java             |         67 |          0 |         10 |         77 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/PaperScissorsRock.java        | Java             |        101 |          9 |         12 |        122 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Questioin2.java               | Java             |         62 |         19 |          8 |         89 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Question1.java                | Java             |         61 |          3 |         16 |         80 |
| /Users/hei/IdeaProjects/fyp/practical_tests/set1/solution/Sudoku.java                   | Java             |        261 |        104 |         38 |        403 |
| /Users/hei/IdeaProjects/fyp/rag_system.py                                               | Python           |        169 |         10 |         46 |        225 |
| /Users/hei/IdeaProjects/fyp/requirements.txt                                            | pip requirements |         46 |          0 |          1 |         47 |
| /Users/hei/IdeaProjects/fyp/routers/__init__.py                                         | Python           |          0 |          0 |          1 |          1 |
| /Users/hei/IdeaProjects/fyp/routers/code_execution.py                                   | Python           |        104 |         10 |         23 |        137 |
| /Users/hei/IdeaProjects/fyp/routers/lessons.py                                          | Python           |         22 |          0 |          4 |         26 |
| /Users/hei/IdeaProjects/fyp/routers/pdfs.py                                             | Python           |         20 |          0 |          5 |         25 |
| /Users/hei/IdeaProjects/fyp/routers/practical_tests.py                                  | Python           |        115 |         11 |         41 |        167 |
| /Users/hei/IdeaProjects/fyp/routers/rag.py                                              | Python           |        452 |         19 |        118 |        589 |
| /Users/hei/IdeaProjects/fyp/services/__init__.py                                        | Python           |          0 |          0 |          1 |          1 |
| /Users/hei/IdeaProjects/fyp/services/pdf_service.py                                     | Python           |         34 |          0 |          5 |         39 |
| /Users/hei/IdeaProjects/fyp/test.py                                                     | Python           |          8 |          0 |          3 |         11 |
| /Users/hei/IdeaProjects/fyp/tutor.py                                                    | Python           |         51 |          7 |         11 |         69 |
| Total                                                                                   |                  |     29,169 |        325 |        734 |     30,228 |
+-----------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
